input,expected_output,category,document,expected_source,expects_offer
"Kryje pojištění odpovědnosti škodu způsobenou psem?","Ano, újmu způsobenou zvířetem legálně u sebe pojištění kryje; výlukou je ale pes při výkonu práva myslivosti nebo služební pes při služebním výkonu (a dále újma úmyslná či způsobená provozem motorového vozidla).","in_scope","M-750","Pojištění odpovědnosti, bod 1 odst. 1 a bod 5 odst. 1",true
"Kolik pojišťovna proplatí při stornu zájezdu?","100 % stornopoplatků při úmrtí pojištěného, úmrtí blízké osoby méně než 30 dnů před odjezdem nebo akutním onemocnění/úrazu pojištěného vyžadujícím hospitalizaci; z ostatních důvodů 80 % (nejvýše 80 % ceny cestovních služeb).","in_scope","M-750","Pojištění STORNO, bod 3 odst. 1",true
"Kryje pojištění STORNO zrušení cesty kvůli karanténě?","Ano, jde-li o preventivní karanténu nařízenou osobně pojištěnému (rozhodnutím správního orgánu ČR nebo lékařem v ČR); nevztahuje se na plošně nařízenou karanténu.","in_scope","M-750","Pojištění STORNO, bod 1 písm. k",true
"Kolik stojí cestovní pojištění na týden do Chorvatska?","Fallback — dokument neuvádí ceny ani sazby pojistného; výše je věcí konkrétní pojistné smlouvy.","out_of_scope","M-750","",true
"Jaký je konkrétní limit léčebných výloh v korunách nebo eurech?","Fallback / opatrná odpověď — konkrétní částku limitu podmínky neuvádějí, limit pojistného plnění je stanoven v pojistné smlouvě. Chatbot nemá číslo vymyslet.","out_of_scope","M-750","",false
"Dostanu slevu na pojistném, když jsem loni neměl žádnou pojistnou událost (bonus za bezeškodní průběh)?","Fallback — žádný bonusový ani slevový systém za bezeškodní průběh tyto podmínky neuvádějí. Chatbot má přiznat, že informaci v dokumentu nenachází.","out_of_scope","M-750","",false
"Jaký je rozdíl mezi pojištěním zavazadel a pojištěním zpoždění zavazadel?","Pojištění zavazadel kryje poškození, zničení, ztrátu nebo odcizení věcí; pojištění zpoždění zavazadel hradí náklady na nezbytné náhradní věci při zpoždění registrovaných zavazadel nejméně o 6 hodin.","confusion","M-750","Pojištění zavazadel, bod 1 vs. Pojištění zpoždění zavazadel, bod 1",
"Jaký je rozdíl mezi pojištěním STORNO a pojištěním přerušení cesty?","STORNO hradí stornopoplatky za zrušení cesty před odjezdem; pojištění přerušení cesty hradí náklady na náhradní dopravu zpět do ČR, když musíte přerušit už probíhající cestu (max. 250 000 Kč).","confusion","M-750","Pojištění STORNO, bod 1 vs. Pojištění přerušení cesty, bod 2",
"Je pojištění léčebných výloh totéž co úrazové pojištění?","Ne — léčebné výlohy jsou pojištění škodové (hradí skutečné náklady na ošetření v zahraničí), úrazové pojištění je obnosové (vyplácí sjednanou částku za trvalé následky nebo smrt úrazem podle oceňovací tabulky).","confusion","M-750","Pojištění léčebných výloh v zahraničí vs. Úrazové pojištění",
"Vztahuje se toto cestovní pojištění na škodu na mém bytě nebo bytovém domě v ČR?","Ne — pojištění nemovitosti a domácnosti v ČR řeší jiné produkty (VPP M-100/M-200); cestovní pojištění M-750 kryje rizika spojená se zahraniční cestou. Chatbot má rozlišit produkt.","confusion","M-750","",
